year,country_destination_id,import_val
2007,QAT,66054.82
2007,SAU,1830513.91
2007,SGP,4378661.35
2007,SYR,2058046.38
2007,THA,11418277.62
2007,TJK,236020
2007,TKM,9101811.81
2007,TUR,128568192.9
2007,UZB,10417597.7
2007,VNM,10717466.24
2007,XXB,4028753.54
2007,YEM,3439712
2007,AND,33109
2007,AUT,125840667.7
2007,BGR,69091662.42
2007,BIH,11881
2007,BLR,21121369.39
2007,BLX,135664476.1
2007,CHE,23149700.56
2007,CZE,18818728.81
2007,DEU,129603541.8
2007,DNK,5024650.4
2007,ESP,25344386.53
2007,EST,1937875.17
2007,FIN,10913167.8
2007,FRA,148348908.1
2007,GBR,37374005.01
2007,GIB,242349
2007,GRC,41503431.17
2007,HRV,948237.93
2007,HUN,22894086.23
2007,IRL,4393549.24
2007,ISL,8085
2007,ITA,126656682.8
2007,LTU,1804358.1
2007,LVA,2410473.96
2007,MDA,1885220.03
2007,MKD,202329.93
2007,NLD,28068533.03
2007,NOR,1155265.99
2007,POL,17619074.98
2007,PRT,2248890.21
2007,ROU,58160676.29
2007,RUS,531487098.4
2007,SRB,741211.9
2007,SVK,9534528.44
2007,SVN,6988346.66
2007,SWE,28279743.75
2007,UKR,230715920.8
2007,BHS,23157.49
2007,BLZ,256000
2007,BRB,4562066.57
2007,CAN,11639795.32
2007,CRI,563178.27
2007,CUB,66369.5
2007,DMA,51189
2007,DOM,27296.49
2007,GTM,55356.98
2007,HND,35968.49
2007,HTI,2219.26
2007,JAM,1141.1
2007,MEX,1204029.3
2007,NIC,65621.19
2007,PAN,1593344.27
2007,SLV,165879.67
2007,USA,135748734.9
2007,VGB,733374.05
2007,AUS,7686509.6
2007,FJI,88502
2007,NZL,2982818.19
2007,PNG,2929.25
2007,ARG,7058267.1
2007,BRA,26001475.21
2007,CHL,953649.17
2007,COL,1117588.71
2007,ECU,9203341.36
2007,FLK,4760
2007,PER,118272.41
2007,PRY,245294.86
2007,SUR,6999.64
2007,XXA,1612036
2008,AGO,8700
2008,CIV,2377892.26
2008,CMR,164342.7
